time,open,high,low,close,volume
2019-12-20,38.18,38.81,36.42,36.42,118740
2019-12-23,36.42,36.55,34.98,34.98,100300
2019-12-24,34.85,34.92,33.28,33.35,134890
2019-12-25,33.35,35.42,32.97,34.85,128320
2019-12-26,35.1,35.17,34.35,34.66,60090
2019-12-27,34.66,34.66,33.85,33.85,70710
2019-12-30,33.72,33.72,33.03,33.22,109630
2019-12-31,33.22,33.22,32.03,32.22,119970
2020-01-02,32.22,34.04,32.22,33.16,123270
2020-01-03,33.66,34.41,33.47,33.47,135390
2020-01-06,33.28,33.35,32.72,33.03,28890
2020-01-07,33.16,33.16,32.03,32.34,77310
2020-01-08,32.09,32.28,31.59,31.65,104260
2020-01-09,32.03,32.47,31.52,31.52,70230
2020-01-10,31.46,31.52,29.99,31.12,285310
2020-01-13,31.12,31.9,31.12,31.21,61630
2020-01-14,31.02,31.71,31.02,31.15,69340
2020-01-15,31.09,31.34,30.96,31.05,58970
2020-01-16,31.05,31.27,30.58,30.96,45110
2020-01-17,30.71,33.09,30.71,33.09,251890
2020-01-20,33.28,34.85,33.28,33.6,108300
2020-01-21,33.6,33.91,32.84,33.28,123630
2020-01-22,32.66,34.66,32.66,33.53,147520
2020-01-30,33.16,34.35,33.16,33.22,130320
2020-01-31,33.28,35.54,33.28,34.98,299400
2020-02-03,35.1,35.1,32.66,32.78,304180
2020-02-04,32.78,33.47,31.4,31.46,254790
2020-02-05,31.71,32.66,31.71,31.78,148880
2020-02-06,32.66,33.53,31.78,33.35,170980
2020-02-07,33.53,35.67,33.35,35.67,272130
2020-02-10,36.8,38.12,35.8,38.12,256350
2020-02-11,38.93,40.76,38.93,39.56,454660
2020-02-12,39.25,41.89,38.75,40.82,437870
2020-02-13,40.63,41.45,40.13,40.38,125260
2020-02-14,39.69,41.26,39.37,40.32,172420
2020-02-17,40.32,42.7,39.75,42.7,250230
2020-02-18,45.09,45.47,43.33,43.96,333580
2020-02-19,43.64,44.71,43.33,43.96,133290
2020-02-20,43.33,44.52,42.26,42.45,225110
2020-02-21,42.07,43.39,41.51,42.01,161430
2020-02-24,40.82,40.88,39.12,39.12,264160
2020-02-25,36.74,40.19,36.74,40.07,238120
2020-02-26,38.93,40.07,38.62,39.25,79240
2020-02-27,39.0,40.82,39.0,40.76,147910
2020-02-28,39.5,40.38,38.93,39.12,129600
2020-03-02,39.12,40.82,38.93,40.19,166400
2020-03-03,41.13,42.95,40.88,42.95,238760
2020-03-04,43.96,45.53,43.02,43.02,291500
2020-03-05,43.64,43.9,42.07,42.2,194510
2020-03-06,41.76,44.52,41.26,43.96,303280
2020-03-09,40.88,42.64,40.88,40.88,223240
2020-03-10,39.25,41.45,38.81,40.82,195980
2020-03-11,40.82,41.45,37.99,37.99,430810
2020-03-12,35.8,39.5,35.36,35.36,403670
2020-03-13,32.97,35.17,32.91,34.35,263780
2020-03-16,32.97,34.48,32.34,32.4,140480
2020-03-17,30.77,34.35,30.77,34.35,183630
2020-03-18,34.35,35.36,34.35,34.6,153030
2020-03-19,33.28,33.91,32.66,33.28,118400
2020-03-20,33.6,34.04,32.97,33.79,208660
2020-03-23,32.84,32.84,31.46,31.46,200910
2020-03-24,31.46,32.66,31.4,32.22,114070
2020-03-25,33.28,34.16,33.16,33.28,152310
2020-03-26,32.97,33.28,32.03,32.53,95830
2020-03-27,33.79,33.79,31.9,32.09,63030
2020-03-30,30.46,31.15,29.86,30.33,165000
2020-03-31,30.21,31.4,28.23,28.23,280350
2020-04-01,28.26,28.89,27.63,28.32,217950
2020-04-03,28.82,30.3,28.82,30.3,128520
2020-04-06,32.03,32.4,32.03,32.4,84890
2020-04-07,34.23,34.48,32.66,34.04,318610
2020-04-08,33.22,34.04,32.66,33.79,136450
2020-04-09,33.41,34.85,33.41,34.1,191390
2020-04-10,33.91,34.54,33.28,33.6,143230
2020-04-13,33.85,34.16,33.53,33.6,144440
2020-04-14,33.6,33.72,32.03,33.28,172560
2020-04-15,33.28,35.61,33.28,35.61,549210
2020-04-16,35.61,37.8,35.61,37.3,354240
2020-04-17,38.31,38.87,37.68,38.75,397140
2020-04-20,38.75,39.56,37.55,38.75,454940
2020-04-21,36.8,37.37,36.05,36.05,535580
2020-04-22,33.97,35.98,33.97,35.61,302320
2020-04-23,35.92,36.99,34.85,35.61,217070
2020-04-24,35.48,38.06,34.85,38.06,375720
2020-04-27,38.62,40.19,38.62,40.19,467190
2020-04-28,39.88,40.5,38.93,40.07,250210
2020-04-29,39.37,40.07,39.25,39.37,243670
2020-05-04,39.25,39.37,38.31,38.31,258520
2020-05-05,38.31,38.75,37.37,38.31,181260
2020-05-06,38.31,40.94,38.31,40.94,350690
2020-05-07,41.45,42.83,41.45,42.07,340880
2020-05-08,42.2,42.83,41.07,41.13,496840
2020-05-11,41.64,42.33,41.2,41.64,288520
2020-05-12,41.45,43.33,40.88,43.33,400210
2020-05-13,43.33,45.47,42.39,44.34,482130
2020-05-14,43.9,44.4,43.33,43.33,303350
2020-05-15,43.33,44.27,42.07,42.07,420700
2020-05-18,42.39,43.08,41.7,43.02,274500
2020-05-19,43.02,44.34,42.7,42.7,333030
2020-05-20,41.89,44.21,41.89,43.77,354870
2020-05-21,43.83,44.27,42.7,43.64,274820
2020-05-22,43.64,43.9,42.7,42.77,274320
2020-05-25,42.77,42.95,42.39,42.7,207710
2020-05-26,43.21,43.9,42.58,43.52,377220
2020-05-27,43.9,46.53,43.71,46.53,1197620
2020-05-28,46.78,49.3,46.78,48.23,479930
2020-05-29,47.1,48.23,47.1,47.73,238500
2020-06-01,47.66,48.98,47.16,48.54,447410
2020-06-02,48.54,48.79,45.15,45.15,844250
2020-06-03,42.07,43.9,42.01,42.26,1537730
2020-06-04,42.26,45.21,42.26,45.21,542240
2020-06-05,45.21,47.1,45.21,45.97,323220
2020-06-08,45.21,45.72,44.59,45.15,630860
2020-06-09,44.9,45.03,44.15,44.27,453560
2020-06-10,43.33,43.9,42.39,43.58,418980
2020-06-11,43.33,45.84,42.07,42.07,596480
2020-06-12,42.07,43.27,41.45,42.39,303610
2020-06-15,42.39,42.95,39.44,39.44,383160
2020-06-16,40.19,40.19,38.68,40.07,266990
2020-06-17,40.19,40.19,39.31,39.37,120440
2020-06-18,37.99,39.44,37.49,39.31,267290
2020-06-19,39.31,40.76,39.19,39.81,178350
2020-06-22,42.58,42.58,40.19,42.58,680980
2020-06-23,45.53,45.53,44.84,45.53,2269440
2020-06-24,47.1,48.61,45.21,45.21,1194010
2020-06-25,42.89,44.27,42.45,42.45,789930
2020-06-26,42.83,44.27,41.45,41.95,564420
2020-06-29,42.39,44.59,41.76,43.96,1108280
2020-06-30,44.59,45.21,42.83,43.71,471750
2020-07-01,46.72,46.72,46.47,46.72,782260
2020-07-02,49.99,49.99,49.99,49.99,406980
2020-07-03,53.44,53.44,50.18,50.18,2318180
2020-07-06,49.8,51.49,48.98,49.11,746210
2020-07-07,51.81,51.81,50.05,50.05,868500
2020-07-08,50.05,51.68,49.67,50.3,847340
2020-07-09,50.3,51.06,49.61,49.86,602140
2020-07-10,49.92,50.93,49.61,49.61,483860
2020-07-13,49.55,51.49,48.98,50.74,926850
2020-07-14,50.74,51.37,50.3,50.36,514110
2020-07-15,50.87,53.38,50.49,52.44,1342900
2020-07-16,52.75,53.38,52.37,52.44,634270
2020-07-17,52.44,53.57,52.19,53.13,720950
2020-07-20,53.25,53.69,50.87,50.87,871890
2020-07-21,51.43,51.87,50.24,51.81,542940
2020-07-22,51.81,52.37,49.61,49.61,1037170
2020-07-23,49.61,50.8,49.17,49.67,627670
2020-07-24,49.74,49.8,46.22,46.22,1405050
2020-07-27,43.64,45.53,43.02,43.02,893160
2020-07-28,43.02,45.15,42.58,44.59,707830
2020-07-29,43.02,43.27,41.51,42.07,829120
2020-07-30,42.39,43.64,42.39,42.83,405750
2020-07-31,42.39,42.64,41.64,41.95,673240
2020-08-03,41.95,44.08,41.95,44.02,499150
2020-08-04,45.15,46.35,44.84,46.16,903520
2020-08-05,46.47,49.17,45.65,48.1,1108780
2020-08-06,48.1,48.92,47.35,48.04,686550
2020-08-07,48.23,49.49,47.6,49.36,931470
2020-08-10,49.92,50.24,48.48,48.48,707180
2020-08-11,48.42,49.17,47.98,49.05,486670
2020-08-12,49.05,49.3,48.04,48.35,458910
2020-08-13,49.42,49.49,48.73,49.42,558860
2020-08-14,49.61,50.11,49.17,49.3,839310
2020-08-17,49.11,50.55,48.86,50.24,651110
2020-08-18,50.49,50.62,50.18,50.24,333640
2020-08-19,50.24,50.36,49.61,49.92,319920
2020-08-20,50.11,50.18,48.98,49.11,396430
2020-08-21,49.11,49.49,48.92,49.05,468160
2020-08-24,49.55,50.43,49.11,50.18,939500
2020-08-25,50.24,51.68,49.74,51.31,1058980
2020-08-26,51.18,51.24,50.24,50.49,712210
2020-08-27,50.3,50.87,49.61,49.92,700190
2020-08-28,50.84,51.49,50.05,50.58,818180
2020-08-31,50.58,50.9,49.66,49.73,758910
2020-09-01,49.6,49.6,48.94,48.94,875370
2020-09-03,49.4,49.4,48.68,49.07,612210
2020-09-04,48.62,50.25,48.62,49.14,560630
2020-09-07,49.66,49.79,48.49,48.49,719300
2020-09-08,48.75,48.75,47.44,47.7,1061900
2020-09-09,47.44,48.36,47.38,47.83,439130
2020-09-10,48.1,48.49,47.83,48.16,381410
2020-09-11,48.1,48.29,48.03,48.1,240530
2020-09-14,48.29,48.29,47.44,47.44,728620
2020-09-15,47.7,48.03,47.38,47.57,370370
2020-09-16,47.64,47.83,47.38,47.57,304060
2020-09-17,47.64,48.62,47.57,47.77,447700
2020-09-18,47.77,48.23,47.64,47.83,317260
2020-09-21,48.1,48.16,47.83,48.03,568940
2020-09-22,47.97,47.97,47.18,47.44,453490
2020-09-23,47.51,48.16,47.44,47.7,418760
2020-09-24,47.7,47.97,47.44,47.57,419780
2020-09-25,47.64,47.97,46.33,46.53,1153660
2020-09-28,46.73,46.99,44.44,45.16,1543740
2020-09-29,45.03,45.03,43.72,43.72,1411470
2020-09-30,43.72,45.22,42.29,45.16,1381300
2020-10-01,45.16,45.68,44.38,45.03,554170
2020-10-02,44.77,45.03,43.72,44.83,774660
2020-10-05,44.7,44.9,43.72,43.72,954110
2020-10-06,43.4,43.59,42.09,42.09,2864590
2020-10-07,41.31,41.77,39.48,39.48,2791470
2020-10-08,39.48,41.83,39.48,39.87,3504770
2020-10-09,40.53,41.05,39.29,40.07,1914890
2020-10-12,40.46,42.35,40.26,42.09,2120420
2020-10-13,42.03,42.09,40.79,40.92,1120630
2020-10-14,40.79,40.79,39.87,40.0,1219040
2020-10-15,39.81,39.87,37.85,37.85,2464510
2020-10-16,37.85,38.11,35.3,35.5,2814930
2020-10-19,35.57,37.72,35.57,37.72,969710
2020-10-20,37.85,39.48,37.72,39.02,1405370
2020-10-21,38.5,39.09,38.05,38.05,1083360
2020-10-22,37.78,37.85,36.81,37.72,511160
2020-10-23,37.85,38.5,36.94,37.13,1125860
2020-10-26,37.72,37.78,36.87,36.87,623310
2020-10-27,36.22,37.0,36.22,36.41,716330
2020-10-28,36.28,37.52,36.22,36.41,731170
2020-10-29,36.15,37.13,36.15,36.87,705870
2020-10-30,37.46,37.46,36.68,36.81,624810
2020-11-02,36.48,36.87,35.7,36.87,656940
2020-11-03,37.13,37.13,36.48,36.48,414390
2020-11-04,36.48,36.87,36.41,36.48,429520
2020-11-05,36.48,37.78,36.48,37.2,946040
2020-11-06,37.65,37.72,36.87,37.07,439930
2020-11-09,37.2,38.05,37.07,37.98,865810
2020-11-10,38.24,40.33,38.18,39.81,1778380
2020-11-11,40.13,40.79,39.81,40.2,1074460
2020-11-12,40.2,40.72,39.61,40.46,810810
2020-11-13,40.4,40.72,39.94,40.2,886960
2020-11-16,40.79,41.7,40.59,40.98,2141080
2020-11-17,41.44,41.44,40.46,40.98,884490
2020-11-18,41.11,41.57,40.85,41.31,722920
2020-11-19,41.31,41.63,40.13,40.33,1127680
2020-11-20,39.87,40.26,39.48,39.94,908560
2020-11-23,40.46,41.44,39.87,41.18,1092580
2020-11-24,41.44,41.44,40.66,41.05,763080
2020-11-25,41.31,42.09,40.98,41.63,1325860
2020-11-26,41.63,42.09,41.5,41.77,714340
2020-11-27,41.9,41.96,41.57,41.57,424780
2020-11-30,41.77,42.42,41.57,41.9,1169370
2020-12-01,41.57,41.96,41.18,41.83,1080790
2020-12-02,41.57,41.7,41.18,41.63,808700
2020-12-03,41.57,41.57,39.94,40.85,1582590
2020-12-04,40.85,41.37,40.33,40.33,529330
2020-12-07,40.46,41.18,40.13,40.85,1010150
2020-12-08,41.11,43.66,41.11,43.66,3160810
2020-12-09,45.03,45.68,43.79,45.68,1670600
2020-12-10,46.2,46.53,45.09,46.01,1630900
2020-12-11,46.01,46.79,44.77,46.01,1495830
2020-12-14,46.33,46.33,45.62,45.88,1159890
2020-12-15,45.88,46.66,45.42,46.46,1410530
2020-12-16,46.53,47.31,46.46,47.25,929500
2020-12-17,46.99,46.99,45.55,45.94,1268120
2020-12-18,46.66,46.92,46.07,46.2,1112770
2020-12-21,47.64,47.97,46.4,46.4,1371900
2020-12-22,46.4,47.31,45.88,46.66,775600
2020-12-23,46.99,48.55,46.07,48.16,1336080
2020-12-24,46.66,48.23,45.68,48.23,1113390
2020-12-25,48.16,48.75,47.38,48.29,1432200
2020-12-28,48.29,48.81,47.44,48.81,875560
2020-12-29,48.81,51.88,48.29,51.88,1775960
2020-12-30,52.21,52.53,50.44,51.75,2068550
2020-12-31,51.55,51.75,50.71,50.71,1431450
2021-01-04,50.71,50.9,49.92,49.92,1852800
2021-01-05,49.73,50.58,49.73,49.92,1216100
2021-01-06,50.18,50.58,49.27,49.73,1339800
2021-01-07,49.66,50.12,48.94,49.47,1319000
2021-01-08,49.73,51.23,49.34,50.18,1421000
2021-01-11,50.9,51.55,49.79,51.29,1055200
2021-01-12,51.55,54.88,51.23,54.88,2876800
2021-01-13,56.06,56.64,54.49,54.95,1339800
2021-01-14,54.95,55.6,54.1,54.82,1063000
2021-01-15,54.82,55.6,54.23,54.23,1056000
2021-01-18,54.23,56.06,53.64,54.82,1608900
2021-01-19,55.47,55.54,51.03,51.1,1778000
2021-01-20,51.29,51.95,48.29,51.1,1210900
2021-01-21,51.82,52.99,51.1,52.21,1039300
2021-01-22,52.21,53.19,51.49,52.14,942100
2021-01-25,51.88,53.84,51.55,52.53,1179500
2021-01-26,53.19,53.32,50.9,51.68,1108600
2021-01-27,50.58,52.14,48.23,49.47,1237500
2021-01-28,46.07,47.31,46.01,46.01,1599700
2021-01-29,43.07,48.29,43.07,48.29,1123000
2021-02-01,46.66,47.18,44.96,44.96,1024200
2021-02-02,44.9,45.09,42.94,44.38,870800
2021-02-03,44.38,46.66,44.38,46.33,885200
2021-02-04,46.4,46.66,45.68,45.88,603700
2021-02-05,45.88,46.73,45.75,46.59,587200
2021-02-08,46.99,47.25,44.38,44.77,872200
2021-02-09,44.77,45.88,44.31,45.03,490900
2021-02-17,45.35,47.64,45.35,47.18,633000
2021-02-18,47.64,48.29,46.99,47.77,791900
2021-02-19,47.31,48.23,47.12,47.57,528800
2021-02-22,47.64,50.84,47.64,49.47,1427500
2021-02-23,49.6,50.71,49.47,49.66,1007400
2021-02-24,49.66,50.38,48.29,48.94,861800
2021-02-25,49.2,49.27,47.83,48.81,868900
2021-02-26,47.97,48.62,47.7,48.23,700600
2021-03-01,48.75,49.27,48.23,49.2,647900
2021-03-02,49.79,49.79,48.62,49.07,408700
2021-03-03,49.07,49.2,48.23,48.81,563700
2021-03-04,48.94,49.27,46.33,47.57,704100
2021-03-05,47.38,47.38,46.01,46.92,727400
2021-03-08,47.7,48.23,47.31,47.7,564700
2021-03-09,47.9,51.03,47.31,51.03,2898100
2021-03-10,51.68,52.08,50.38,51.03,930900
2021-03-11,51.23,51.29,50.38,50.9,678900
2021-03-12,50.9,51.75,50.58,50.77,1092000
2021-03-15,50.77,52.79,50.64,51.88,1398500
2021-03-16,52.21,52.47,50.9,51.49,776600
2021-03-17,51.42,51.42,50.77,50.84,669200
2021-03-18,50.9,51.23,50.44,50.77,771300
2021-03-19,50.9,51.75,50.58,50.77,544100
2021-03-22,50.77,50.77,49.27,49.6,1515400
2021-03-23,49.6,50.12,49.07,49.53,728800
2021-03-24,48.94,49.2,47.64,47.83,908200
2021-03-25,48.03,48.49,47.64,47.7,703300
2021-03-26,47.38,47.97,46.33,46.4,889200
2021-03-29,47.64,47.97,46.59,47.97,559000
2021-03-30,47.97,48.81,47.64,48.1,483800
2021-03-31,48.16,48.62,47.51,47.57,402100
2021-04-01,47.57,48.49,47.31,48.23,579000
2021-04-02,48.62,48.62,47.97,48.03,581300
2021-04-05,48.03,48.29,46.99,47.18,999400
2021-04-06,46.86,47.25,46.66,46.99,870800
2021-04-07,46.73,47.97,46.66,47.64,556200
2021-04-08,47.7,47.7,46.92,47.12,507700
2021-04-09,47.05,47.12,46.79,46.79,423100
2021-04-12,46.92,46.92,45.49,46.14,1552100
2021-04-13,46.27,46.27,44.51,44.9,1091200
2021-04-14,44.7,46.33,44.44,45.68,714500
2021-04-15,45.68,45.81,44.64,45.35,557100
2021-04-16,45.03,45.29,44.18,44.31,581700
2021-04-19,44.31,45.09,44.25,44.44,501600
2021-04-20,44.77,45.68,44.57,45.16,549500
2021-04-22,45.16,45.16,43.4,43.4,478400
2021-04-23,43.4,44.31,43.27,44.05,442600
2021-04-26,44.05,44.05,41.83,41.83,469300
2021-04-27,41.11,41.96,40.72,40.79,483400
2021-04-28,40.33,41.7,40.33,41.44,333100
2021-04-29,41.63,41.9,41.24,41.9,574800
2021-05-04,40.79,41.11,40.46,40.59,375400
2021-05-05,40.59,41.24,40.59,40.85,509000
2021-05-06,41.18,41.18,40.72,40.79,316400
2021-05-07,40.66,40.66,38.24,38.24,701700
2021-05-10,37.26,37.78,36.87,37.39,678500
2021-05-11,37.85,39.22,37.78,38.63,484900
2021-05-12,38.44,39.02,38.24,38.96,294300
2021-05-13,38.5,38.89,37.65,37.65,425400
2021-05-14,37.72,38.11,37.2,37.2,417700
2021-05-17,37.78,37.78,36.54,36.54,373100
2021-05-18,36.41,36.61,35.17,35.57,610100
2021-05-19,35.44,36.54,35.44,35.44,361300
2021-05-20,35.89,35.89,33.93,34.46,674400
2021-05-21,33.93,35.83,33.93,35.11,355900
2021-05-24,34.72,37.39,34.72,37.2,609300
2021-05-25,37.78,38.31,37.2,37.85,670700
2021-05-26,37.72,37.92,37.07,37.85,606300
2021-05-27,37.52,38.7,37.33,37.78,729700
2021-05-28,37.85,38.83,37.26,38.57,546900
2021-05-31,38.57,40.46,38.18,40.46,747600
2021-06-01,40.79,40.92,39.87,40.0,421700
2021-06-02,39.81,40.46,39.22,40.26,690600
2021-06-03,40.46,41.37,40.26,41.05,490200
2021-06-04,40.53,41.11,39.81,40.53,668400
2021-06-07,40.46,40.59,39.81,40.0,303500
2021-06-08,40.07,41.05,39.94,40.2,680200
2021-06-09,40.26,40.72,39.35,40.33,309100
2021-06-10,40.07,40.46,39.87,40.33,159500
2021-06-11,40.85,41.37,40.66,40.98,490200
2021-06-14,41.11,42.09,40.98,41.11,600100
2021-06-15,41.57,41.57,40.85,41.05,208800
2021-06-16,40.66,41.31,39.87,41.05,494300
2021-06-17,40.53,41.05,40.53,40.79,147000
2021-06-18,40.79,41.11,40.46,40.79,241900
2021-06-21,40.79,41.5,40.72,40.85,432000
2021-06-22,40.85,41.44,40.85,40.92,310900
2021-06-23,41.11,43.33,41.11,42.68,961300
2021-06-24,43.07,43.53,42.48,42.74,368000
2021-06-25,42.74,42.81,42.09,42.68,294800
2021-06-28,43.07,43.07,42.42,43.07,488000
2021-06-29,43.07,43.2,42.22,42.35,340600
2021-06-30,42.87,42.87,42.16,42.22,160300
2021-07-01,41.9,42.42,41.9,42.29,250700
2021-07-02,42.42,42.74,41.77,42.09,267000
2021-07-05,42.09,42.09,40.53,40.98,393100
2021-07-06,40.59,40.98,39.81,39.81,289300
2021-07-07,39.87,40.07,38.57,39.81,300900
2021-07-08,39.81,41.44,39.81,41.05,395900
2021-07-09,41.11,42.16,40.98,41.63,562500
2021-07-12,41.57,41.57,39.16,40.46,435400
2021-07-13,40.2,40.46,39.48,39.81,160100
2021-07-14,39.81,40.13,38.89,38.89,188000
2021-07-15,38.89,39.68,38.7,39.48,254300
2021-07-16,39.81,39.94,39.02,39.29,95800
2021-07-19,39.09,39.22,38.05,38.83,264900
2021-07-20,38.24,39.02,37.98,39.02,135300
2021-07-21,39.02,39.02,38.24,38.89,127600
2021-07-22,39.09,39.55,38.89,39.29,259100
2021-07-23,39.42,39.42,38.31,39.16,194400
2021-07-26,39.02,39.16,38.5,38.83,78300
2021-07-27,39.09,39.16,38.44,38.89,115600
2021-07-28,38.57,38.96,38.37,38.7,126000
2021-07-29,38.7,39.09,38.5,38.83,118100
2021-07-30,39.02,41.11,39.02,41.11,1017100
2021-08-02,40.92,41.11,40.4,40.92,341900
2021-08-03,40.92,42.09,40.59,42.09,636300
2021-08-04,42.09,42.42,41.57,41.7,300200
2021-08-05,41.63,41.77,41.11,41.5,260700
2021-08-06,41.77,43.59,41.24,42.68,671300
2021-08-09,42.61,43.59,42.09,43.01,318200
2021-08-10,43.01,43.14,42.22,42.35,414100
2021-08-11,42.35,43.53,41.9,43.07,771200
2021-08-12,42.61,44.96,42.61,44.44,1293700
2021-08-13,44.44,44.7,43.72,44.38,635500
2021-08-16,44.44,44.64,43.85,44.05,500800
2021-08-17,43.72,44.51,43.4,43.79,839300
2021-08-18,43.85,43.98,42.81,43.59,698500
2021-08-19,43.59,44.05,43.14,43.92,607400
2021-08-20,43.33,43.79,42.16,43.59,1100600
2021-08-23,42.81,43.59,42.42,42.42,534600
2021-08-24,42.42,43.33,40.79,42.16,476500
2021-08-25,42.35,42.74,41.77,42.55,298500
2021-08-26,42.68,43.33,42.22,42.22,239500
2021-08-27,42.03,43.27,41.63,43.27,547400
2021-08-30,43.85,45.09,43.72,45.09,1186300
2021-08-31,45.09,46.2,45.03,45.94,789100
2021-09-01,45.94,45.94,45.22,45.68,278900
2021-09-06,45.94,46.66,45.35,46.33,479900
2021-09-07,46.33,46.33,45.22,45.29,406700
2021-09-08,45.29,45.29,44.44,44.44,301900
2021-09-09,44.38,44.96,44.38,44.83,186800
2021-09-10,45.03,45.62,44.83,45.55,382900
2021-09-13,45.55,45.55,44.7,44.83,274100
2021-09-14,44.83,45.35,44.18,44.38,314400
2021-09-15,44.38,44.7,44.05,44.38,231900
2021-09-16,45.03,45.03,44.38,44.51,164000
2021-09-17,44.38,45.03,44.38,44.57,179900
2021-09-20,44.96,45.03,44.05,44.05,339400
2021-09-21,43.79,44.38,43.46,44.05,310900
2021-09-22,44.05,45.51,44.05,45.24,210900
2021-09-23,45.77,45.77,44.91,45.17,158900
2021-09-24,45.04,45.57,45.04,45.31,202900
2021-09-27,45.77,45.77,44.05,44.05,197800
2021-09-28,44.05,44.65,44.05,44.65,273600
2021-09-29,44.65,45.7,44.18,45.37,207300
2021-09-30,45.37,45.51,44.91,45.11,92700
2021-10-01,44.98,45.24,44.38,44.58,176300
2021-10-04,45.04,46.37,44.18,46.37,546900
2021-10-05,46.63,47.82,46.63,47.36,721400
2021-10-06,47.69,47.69,47.03,47.36,179500
2021-10-07,47.03,47.36,46.7,46.7,246800
2021-10-08,46.9,47.36,46.37,46.57,180400
2021-10-11,46.7,46.9,45.97,45.97,356200
2021-10-12,45.97,46.63,45.7,46.04,207700
2021-10-13,46.37,46.5,46.1,46.37,98900
2021-10-14,46.3,46.76,46.04,46.1,223800
2021-10-15,46.37,46.37,45.7,45.84,216300
2021-10-18,45.84,46.04,45.17,45.17,422600
2021-10-19,45.11,45.31,44.98,45.17,132100
2021-10-20,45.17,45.9,45.17,45.7,84300
2021-10-21,45.7,45.7,45.17,45.44,134900
2021-10-22,45.97,46.7,45.44,46.7,441600
2021-10-25,47.23,47.29,46.5,46.63,335100
2021-10-26,46.76,47.1,46.1,47.03,406500
2021-10-27,46.7,47.76,46.7,47.69,616600
2021-10-28,47.69,47.76,47.23,47.36,162300
2021-10-29,47.69,48.16,47.03,47.63,585600
2021-11-01,47.16,48.88,47.16,48.42,607500
